status,product_area,response,justification,request_type
escalated,Access Management,"This ticket requires escalation. The support corpus is empty, and therefore I cannot provide a grounded, accurate answer regarding the policy or procedure for restoring a user's access to a team workspace after their internal IT admin has removed their seat. I cannot determine if Claude support can intervene or what steps would be necessary without policy context.","The support corpus is empty, therefore I cannot provide a grounded, accurate answer. The issue involves restoring access, and without specific policies on overriding internal admin actions or the process for such requests, I cannot reply accurately.",product_issue
escalated,unknown,I cannot fulfill this request as it involves a dispute regarding a test score and a request to influence a company's hiring decision. This falls outside the scope of my support capabilities and may require escalation to a specialized team or department.,The user is disputing a test score and requesting intervention with a recruiter and a company's hiring decision. This is a billing dispute/outcome dispute and is not something that can be resolved by reviewing test answers or increasing scores as per the provided context.,invalid
escalated,Payments,"This ticket requires escalation. The user is reporting a merchant issue and is requesting a refund from Visa, which constitutes a billing dispute. Additionally, the user is requesting that Visa ban the seller from taking payments. As the provided support corpus is empty, I cannot provide a grounded response or policy information regarding chargebacks, refunds, or merchant actions.","The user's request for a refund from Visa due to a merchant dispute falls under the 'billing dispute' escalation criteria. Furthermore, the provided support corpus is empty, preventing a grounded and accurate response regarding Visa's policies on merchant disputes, refunds, or actions against merchants. Therefore, escalation is required.",product_issue
escalated,Mock Interviews,This ticket has been escalated due to a billing dispute related to a refund request.,"The user explicitly requested a refund ('please give me the refund asap') due to 'mock interviews not working', which falls under the 'billing dispute' escalation criteria.",product_issue
escalated,billing,I cannot assist with this request. Please contact our billing department for assistance with payment issues.,"The user is raising an issue with their payment (order ID provided). This falls under a billing dispute, which requires escalation as per the defined policies.",product_issue
escalated,Security,,"The support corpus is empty and provides no relevant information or policies to address the user's request for assistance with filling infosec forms. Therefore, a grounded and accurate answer cannot be provided, and escalation is required.",product_issue
escalated,,This ticket needs to be escalated. The provided support corpus does not contain any relevant information to address the user's issue regarding submissions not working or the 'apply tab' being missing.,"The support corpus context is empty, preventing a grounded and accurate response. According to policy, tickets must be escalated if the corpus has no relevant answer.",product_issue
escalated,,"We understand you're experiencing a critical issue where none of your submissions are working across challenges on HackerRank. As a triage agent, I do not have specific information in our knowledge base to resolve this issue directly. Therefore, I am escalating this immediately to the appropriate team for urgent investigation and support.","The provided support corpus context is empty, which means there is no relevant information to provide a grounded, accurate answer. As per the escalation policy, 'if the corpus has no relevant answer,' the ticket must be escalated.",bug
escalated,Test Delivery / Compatibility,,"The support corpus context is empty, therefore no relevant answer or solution can be provided. This ticket requires escalation to a human agent.",product_issue
escalated,,Your request to reschedule your HackerRank assessment requires information not available in our current support corpus. This ticket needs to be escalated to a specialist.,"The provided support corpus context is empty, meaning there is no information available to process a request for rescheduling an assessment. Per policy, tickets where the corpus has no relevant answer must be escalated.",product_issue
replied,interview_settings,"I can confirm that inactivity timeouts are a feature within HackerRank's interview platform. The system is designed to disconnect users from a room after a period of inactivity to free up resources. While the exact default inactivity times and whether they differ between candidates and interviewers are not specified in this context, the behavior described (candidates being sent back to the HR lobby after 20 minutes during a screen share) suggests that the current inactivity settings might be the cause. To address your concern about interviewers and candidates having more time to collaborate, you may be able to adjust these inactivity settings. Please refer to your HackerRank account's interview settings or consult your account manager for specific guidance on modifying inactivity timeouts.","The ticket describes an issue with candidate inactivity leading to disconnection from interviews, which is directly addressed by the concept of 'inactivity times' mentioned in the context as a feature. The user's assumption about the cause and their request to extend inactivity times are also covered. The response confirms the existence of the feature and suggests avenues for adjusting it based on the information provided.",product_issue
escalated,Unknown,"This ticket has been escalated. The issue description is too vague for initial triage, and the support corpus contains no information to classify the product area or provide a solution.","The ticket issue 'it’s not working, help' provides insufficient detail to determine the product area or the nature of the problem. With an empty support corpus, it is impossible to give a grounded, accurate answer or classify the ticket. According to policy, the ticket must be escalated when the corpus has no relevant answer and a grounded reply cannot be given.",invalid
